Tiempo,Corriente,Presión C. Eje,T° Retorno,T° socket Linner,T° Excéntrica,T° Alimentación,T° Desc. C. Eje,Salto anillo A,Salto Anillo B,Salto Anillo C,Salto Anillo D,Nivel Taza,Setting
2018-04-09 08:24:00,29.15074634552002,523.65234375,40.29113578796387,35.39447212219238,48.877586364746094,33.69765853881836,35.068782806396484,3.6630859375,4.654296875,3.229101538658142,6.7138671875,25.17474365234375,40.90000534057617
2018-04-09 09:00:00,34.33486747741699,478.751953125,43.44841957092285,38.79679870605469,51.35666275024414,37.32841873168945,37.05416297912598,4.738476514816284,5.858202934265137,4.650195360183716,9.255859375,28.62696647644043,31.30002975463867
2018-04-09 09:36:00,33.429908752441406,549.08203125,40.42992401123047,35.18316078186035,49.041015625,34.83220672607422,35.23828315734863,4.6685545444488525,6.047070264816284,4.333789110183716,8.9111328125,25.189316749572754,27.40003967285156
2018-04-09 10:12:00,36.800048828125,541.8828125,40.24697685241699,34.62808418273926,49.33586311340332,35.03242492675781,34.819923400878906,5.409960985183716,6.301171779632568,5.510937452316284,10.725195407867435,25.934507369995114,26.50004196166992
2018-04-09 10:48:00,40.75530242919922,492.884765625,40.95320510864258,35.166229248046875,50.196205139160156,35.98966979980469,35.387033462524414,5.8623046875,7.1197264194488525,5.7484376430511475,11.783203125,31.730624198913574,26.50004196166992
2018-04-09 11:24:00,50.48783493041992,436.30859375,41.48428916931152,36.75484275817872,51.41973686218262,36.558109283447266,35.80937576293945,6.866601467132568,8.301171779632568,5.9525392055511475,13.399218559265135,29.862133979797363,24.70004653930664
2018-04-09 12:00:00,52.377695083618164,406.064453125,42.4055118560791,38.14229202270508,52.73522186279297,37.551544189453125,36.422306060791016,7.5179688930511475,9.4267578125,6.439257860183716,14.328711032867435,24.46248531341553,24.70004653930664
2018-04-09 12:36:00,50.714242935180664,397.615234375,43.02441596984863,38.668540954589844,52.955190658569336,38.12197494506836,36.989418029785156,7.4166014194488525,9.295117378234863,6.447656154632568,13.952929496765135,31.855965614318848,24.70004653930664
2018-04-09 13:12:00,55.46475410461426,390.08203125,43.51648712158203,39.3352928161621,53.59465789794922,38.57121276855469,37.518009185791016,7.7037107944488525,9.6259765625,6.479296922683716,14.55917978286743,27.937716484069824,24.70004653930664
2018-04-09 13:48:00,52.18461227416992,372.470703125,43.89101791381836,39.523725509643555,53.473594665527344,38.92582321166992,37.767364501953125,7.7904298305511475,9.6005859375,6.635937452316284,14.4677734375,28.39012336730957,24.70004653930664
2018-04-09 14:24:00,43.8570499420166,440.50390625,43.7230110168457,38.60172080993652,52.46539497375488,38.67978858947754,37.67074394226074,7.089062452316284,8.952929496765137,6.349804639816284,13.52597618103027,29.77811908721924,24.70004653930664
2018-04-09 15:00:00,44.45873260498047,447.208984375,43.5154914855957,38.27950477600098,52.1922550201416,38.51742362976074,37.62060737609863,7.0228517055511475,8.884570121765137,6.2919921875,13.420117378234865,29.481480598449707,24.70004653930664
2018-04-09 15:36:00,47.31560516357422,421.583984375,43.29170036315918,38.313581466674805,52.42915916442871,38.0651969909668,37.30086135864258,7.416210889816284,9.183984279632568,6.501562595367432,14.10566425323486,30.80295181274414,24.70004653930664
2018-04-09 16:12:00,50.265769958496094,414.060546875,43.07322692871094,38.28181266784668,52.54995155334473,37.93371391296387,37.09101676940918,7.386523485183716,9.189648151397705,6.338671922683716,13.89902353286743,28.77247524261475,24.70004653930664
2018-04-09 16:48:00,25.954072952270504,488.16796875,42.04890823364258,37.78922080993652,50.458356857299805,37.30617332458496,36.69606590270996,1.501171886920929,1.1714844107627869,0.8828125,2.277148485183716,2.5631884932518005,24.70004653930664
2018-04-09 17:24:00,45.33891487121582,475.513671875,41.78660583496094,37.110015869140625,50.95083045959473,36.63746452331543,36.29879188537598,6.812304735183716,8.496679782867432,6.071484327316284,13.181640625,22.421701431274414,24.70004653930664
2018-04-09 18:00:00,51.00673484802246,394.80859375,43.36840057373047,39.00775909423828,52.82272911071777,37.89752197265625,37.42570495605469,7.906836032867432,9.718945503234863,6.417187452316284,14.45957040786743,30.55244827270508,24.70004653930664
2018-04-09 18:36:00,51.51554298400879,444.982421875,41.99179840087891,36.84958457946777,51.81534957885742,36.14605712890625,36.36420249938965,7.550976514816284,9.664258003234863,6.528125047683716,14.316992282867435,26.884998321533203,24.70004653930664
