Fecha,Conductividad,Carga motor (M014),Carga motor (M015),Ind.Presión (PI8026),Ind.Presión (PIC8025),Ind.Temperatura (TI8015),Ind.Temperatura (TIC8014),Estado
2016-01-15 22:00:00,3.9,69.8435262,38.9999967,17.9305241,18.5,80.4762667,100.3856276,0.0
2016-01-16 00:00:00,3.9,69.8683673,38.9602065,17.9742341,18.5,81.6513077,99.537976,0.0
2016-01-16 02:00:00,3.8,69.9244972,38.2728326,18.1155753,18.5,80.7119415,100.0461701,0.0
2016-01-16 04:00:00,3.9,70.0009817,38.9785097,18.233701,18.5,80.6274403,99.7319679,0.0
2016-01-16 06:00:00,4.1,70.2521776,39.1076012,18.1539101,18.5,81.3775603,100.3661678,0.0
2016-01-16 08:00:00,4.0,70.6136096,39.7556774,18.0297513,18.5,83.7193694,99.5693981,0.0
2016-01-16 10:00:00,4.0,70.1610572,39.6499614,17.9115394,18.5,83.0495018,100.3432699,0.0
2016-01-16 12:00:00,3.9,70.24738,39.1939948,17.8012815,18.5,84.3148351,100.6239892,0.0
2016-01-16 14:00:00,4.1,70.0602615,39.194104,17.7232163,18.5,82.5176729,100.4109053,0.0
2016-01-16 16:00:00,4.1,69.9625895,39.1972354,17.9107921,18.5,82.9984313,99.6320736,0.0
2016-01-16 18:00:00,4.0,70.0382326,39.349593,18.1574776,18.5,82.965681,98.856396,0.0
2016-01-16 20:00:00,4.3,70.1647616,39.1987992,18.3794767,18.5,83.5859802,99.5820295,0.0
2016-01-16 22:00:00,3.7,70.0560923,39.4005033,18.5686333,18.5,82.8552014,99.5026991,0.0
2016-01-17 00:00:00,3.7,69.925696,39.0481577,18.7452262,18.5,81.9982879,99.4421089,0.0
2016-01-17 02:00:00,3.5,69.9936543,39.034186,18.8200349,18.5,81.2725543,100.1209177,0.0
2016-01-17 04:00:00,3.5,70.2862563,38.9462688,18.8723179,18.5,82.0365022,100.3684372,0.0
2016-01-17 06:00:00,3.7,70.2857037,39.0598942,18.5923451,18.5,83.0203132,100.2031179,0.0
2016-01-17 08:00:00,4.3,69.8899082,39.0915358,18.0018186,18.5,82.3155963,100.3067554,0.0
2016-01-17 10:00:00,4.4,69.8503995,39.3544756,17.8861093,18.5,82.7422073,101.1867589,0.0
2016-01-17 12:00:00,4.6,69.6759473,39.7719283,17.8157921,18.5,83.1429297,101.2793086,0.0
2016-01-17 14:00:00,4.7,69.7283382,39.9720965,17.8094767,18.5,82.2179266,99.5459794,0.0
2016-01-17 16:00:00,4.1,69.5864428,39.5855464,17.8425694,18.5,82.1941825,99.4352665,0.0
2016-01-17 18:00:00,4.3,69.8495017,38.7093188,17.8897268,18.5,82.4305025,100.832755,0.0
2016-01-17 20:00:00,4.3,69.9759405,38.6888582,17.9886033,18.5,82.4645946,100.5895219,0.0
2016-01-17 22:00:00,3.9,69.7427048,36.7516556,18.0919102,18.5,80.4275599,99.9941826,0.0
2016-01-18 00:00:00,4.0,70.1418383,34.1879811,18.1694801,18.5,82.5901272,99.5628147,0.0
2016-01-18 02:00:00,3.7,69.9743747,34.5811769,18.2312958,18.5,81.8066389,99.5342907,0.0
2016-01-18 04:00:00,4.0,70.2322896,36.5181093,18.271404,18.5,82.5977942,100.1571019,0.0
2016-01-18 06:00:00,3.9,69.9917443,39.3147506,18.2322811,18.5,81.7034224,100.4664633,0.0
